loss,params,iteration,estimators,train_time
0.04473918893547757,"{'num_leaves': 114, 'boosting_type': 'goss', 'verbose': 1, 'reg_lambda': 0.5773835691302064, 'learning_rate': 0.011767912024933956, 'subsample': 1.0, 'colsample_bytree': 0.853102917239426, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.3369787449812449, 'min_child_samples': 110, 'subsample_for_bin': 40000}",17,50,2.604544428992085
0.0466897028540435,"{'num_leaves': 67, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.9616204046171472, 'learning_rate': 0.03598378193909862, 'subsample': 0.5253657477796922, 'colsample_bytree': 0.7706879189819607, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.9645612747608906, 'min_child_samples': 135, 'subsample_for_bin': 60000}",18,135,4.384936451097019
0.30065100325129124,"{'num_leaves': 112, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.09460288039448272, 'learning_rate': 0.10875645732896141, 'subsample': 0.7153773885862027, 'colsample_bytree': 0.8464791720356762, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.002436386070584051, 'min_child_samples': 380, 'subsample_for_bin': 180000}",19,54,3.406492633977905
0.04667189674543093,"{'num_leaves': 66, 'boosting_type': 'goss', 'verbose': 1, 'reg_lambda': 0.5854944753883532, 'learning_rate': 0.06644368221542607, 'subsample': 1.0, 'colsample_bytree': 0.6048404419661536, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.776616518870496, 'min_child_samples': 85, 'subsample_for_bin': 300000}",20,10,1.8818883830681443
0.04413106189969562,"{'num_leaves': 146, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.2653362511518287, 'learning_rate': 0.026033024221030696, 'subsample': 0.6786886701166054, 'colsample_bytree': 0.9838599975867146, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.6155821240075453, 'min_child_samples': 45, 'subsample_for_bin': 260000}",21,189,7.229927912005223
0.043790510759657786,"{'num_leaves': 84, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.1977482719197018, 'learning_rate': 0.13826938818627302, 'subsample': 0.6844436456398968, 'colsample_bytree': 0.972718346409936, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.6537399155925585, 'min_child_samples': 55, 'subsample_for_bin': 80000}",22,45,3.50501919107046
0.0447662333598563,"{'num_leaves': 150, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.2963458636251167, 'learning_rate': 0.030989483339078465, 'subsample': 0.5409169697481263, 'colsample_bytree': 0.9338454084190876, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.9974423315390475, 'min_child_samples': 25, 'subsample_for_bin': 20000}",23,144,8.185193024924956
0.06886564657780014,"{'num_leaves': 53, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.1601769534926103, 'learning_rate': 0.057649594530696444, 'subsample': 0.953726425384128, 'colsample_bytree': 0.9410865890609843, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.5380591484168241, 'min_child_samples': 290, 'subsample_for_bin': 260000}",24,147,3.5000365059822798
0.07725124344750112,"{'num_leaves': 84, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.3253213541180374, 'learning_rate': 0.028051776601771435, 'subsample': 0.8232886095833919, 'colsample_bytree': 0.8205910804841766, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.6810345998049265, 'min_child_samples': 325, 'subsample_for_bin': 60000}",25,560,9.596025877981447
0.045416342580589464,"{'num_leaves': 143, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.20823663192987935, 'learning_rate': 0.012886603038685456, 'subsample': 0.7338354536040269, 'colsample_bytree': 0.954781155080257, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.07791014578164007, 'min_child_samples': 70, 'subsample_for_bin': 140000}",26,289,12.505973294028081
0.04642793815692625,"{'num_leaves': 54, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.38554513803698165, 'learning_rate': 0.04883445542577015, 'subsample': 0.6242038302153797, 'colsample_bytree': 0.903427019897958, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.4804353375196302, 'min_child_samples': 105, 'subsample_for_bin': 280000}",27,19,2.6848650039173663
0.04605151404075003,"{'num_leaves': 98, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.12113196990544259, 'learning_rate': 0.02447490411999753, 'subsample': 0.6259694183366933, 'colsample_bytree': 0.9924775987893661, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.7101079494659993, 'min_child_samples': 20, 'subsample_for_bin': 80000}",28,111,5.860549547942355
0.046421717194293555,"{'num_leaves': 136, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.5134390855142448, 'learning_rate': 0.06757012892947024, 'subsample': 0.9755776783805412, 'colsample_bytree': 0.9181531679417774, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.5559184519787714, 'min_child_samples': 25, 'subsample_for_bin': 160000}",29,44,4.187214318080805
0.04273927982858439,"{'num_leaves': 79, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.2486632908443611, 'learning_rate': 0.1311911182139451, 'subsample': 0.828107015832206, 'colsample_bytree': 0.8709887971173338, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.9399476273147975, 'min_child_samples': 145, 'subsample_for_bin': 240000}",30,444,17.242776094004512
0.05314072935012926,"{'num_leaves': 82, 'boosting_type': 'goss', 'verbose': 1, 'reg_lambda': 0.6339114044086129, 'learning_rate': 0.12173416870524764, 'subsample': 1.0, 'colsample_bytree': 0.8241931410125172, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.8693635683766011, 'min_child_samples': 150, 'subsample_for_bin': 300000}",31,8,1.6190161829581484
